survived,title,surname,first name,sex,age,department,position,boarded,lifeboat,body,home
1,Mr.,Anderson,James,male,40.0,Deck,Able Seaman,S,16,,"Southampton, Hampshire, England"
1,Mr.,Anderson,John,male,41.0,Deck,Able Seaman,S,16,,"Southampton, Hampshire, England"
1,Mr.,Archer,Ernest,male,36.0,Deck,Able Seaman,S,3,,"Southampton, Hampshire, England"
1,Mr.,Bailey,Joseph,male,43.0,Deck,Master-at-arms,S,16,,"Southampton, Hampshire, England"
0,Mr.,Bradley,T.,male,29.0,Deck,Able Seaman,S,,,"Southampton, Hampshire, England"
1,Mr.,Brice,Walter,male,42.0,Deck,Able Seaman,S,11,,"Southampton, Hampshire, England"
1,Mr.,Bright,Arthur,male,41.0,Deck,Quartermaster,S,D,,"Woolston, Hampshire, England"
1,Mr.,Buley,Edward,male,27.0,Deck,Able Seaman,S,10,,"Southampton, Hampshire, England"
1,Mr.,Clench,Frederick,male,34.0,Deck,Able Seaman,S,12,,"Southampton, Hampshire, England"
0,Mr.,Clench,George,male,31.0,Deck,Able Seaman,S,,,"Southampton, Hampshire, England"
0,Mr.,Couch,Frank,male,28.0,Deck,Able Seaman,S,,253.0,"Port Isaac, Cornwall"
0,Mr.,Davis,Stephen,male,39.0,Deck,Able Seaman,S,,,"Landport, Hampshire, England"
1,Mr.,Evans,Alfred,male,24.0,Deck,Lookout,S,15,,"Southampton, Hampshire, England"
1,Mr.,Evans,Frank,male,24.0,Deck,Able Seaman,S,10,,"Southampton, Hampshire, England"
1,Mr.,Fleet,Frederick,male,24.0,Deck,Lookout,B,6,,"Southampton, Hampshire, England"
1,Mr.,Foley,John,male,44.0,Deck,Storekeeper,B,4,,"Southampton, Hampshire, England"
1,Mr.,Forward,James,male,27.0,Deck,Able Seaman,S,16,,"Southampton, Hampshire, England"
1,Mr.,Haines,Albert,male,31.0,Deck,Boatswain,B,9,,"Southampton, Hampshire, England"
1,Mr.,Harder,William,male,39.0,Deck,Window Cleaner,S,14,,"Southampton, Hampshire, England"
1,Mr.,Hemming,Samuel,male,43.0,Deck,Lamp Trimmer,B,4,,"Southampton, Hampshire, England"
1,Mr.,Hichens,Robert,male,29.0,Deck,Quartermaster,S,6,,"Southampton, Hampshire, England"
1,Mr.,Hogg,George,male,29.0,Deck,Lookout,B,7,,"Southampton, Hampshire, England"
1,Mr.,Holman,Harry,male,27.0,Deck,Able Seaman,B,7,,"Southampton, Hampshire, England"
1,Mr.,Hopkins,Robert,male,40.0,Deck,Able Seaman,S,13,,"Southampton, Hampshire, England"
1,Mr.,Horswill,Albert,male,33.0,Deck,Able Seaman,S,1,,"Southampton, Hampshire, England"
1,Mr.,Humphreys,Sidney,male,48.0,Deck,Quartermaster,S,11,,"Southampton, Hampshire, England"
0,Mr.,Hutchinson,John,male,26.0,Deck,Carpenter/Joiner,B,,170.0,"Southampton, Hampshire, England"
1,Mr.,Jewell,Archie,male,23.0,Deck,Lookout,B,7,,"Southampton, Hampshire, England"
1,Mr.,Jones,Thomas,male,32.0,Deck,Able Seaman,S,8,,"Liverpool, Lancashire, England"
0,Mr.,King,Thomas,male,43.0,Deck,Master-at-arms,S,,,"Portsmouth, Hampshire, England"
1,Mr.,Lee,Reginald,male,41.0,Deck,Lookout,S,13,,"Southampton, Hampshire, England"
1,Mr.,Lucas,William,male,25.0,Deck,Able Seaman,S,D,,"Southampton, Hampshire, England"
1,Mr.,Lyons,William,male,26.0,Deck,Able Seaman,S,4,,"Southampton, Hampshire, England"
